,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
0,2020-01-02,sh.601398,5.6268179200,5.7313702800,5.6173131600,5.6743417200,5.5887988800,234949397,1404442753.0000,2,0.087100,1,1.530600,6.868990,0.879641,2.521993,3.838070,0
1,2020-01-03,sh.601398,5.6743417200,5.7218655200,5.6648369600,5.6933512400,5.6743417200,152213047,911951562.0000,2,0.056500,1,0.335000,6.892002,0.882588,2.530442,3.850928,0
2,2020-01-06,sh.601398,5.6648369600,5.7503798000,5.6553322000,5.6743417200,5.6933512400,226509705,1359917424.0000,2,0.084000,1,-0.333900,6.868990,0.879641,2.521993,3.838070,0
3,2020-01-07,sh.601398,5.6838464800,5.7408750400,5.6838464800,5.7123607600,5.6743417200,116804353,701615827.0000,2,0.043300,1,0.670000,6.915014,0.885535,2.538891,3.863786,0
4,2020-01-08,sh.601398,5.6648369600,5.6743417200,5.6078084000,5.6173131600,5.7123607600,158559090,940552725.0000,2,0.058800,1,-1.663900,6.799955,0.870801,2.496647,3.799496,0
5,2020-01-09,sh.601398,5.6553322000,5.6648369600,5.5887988800,5.6173131600,5.6173131600,137713429,813806686.0000,2,0.051100,1,0.000000,6.799955,0.870801,2.496647,3.799496,0
6,2020-01-10,sh.601398,5.6173131600,5.6363226800,5.5697893600,5.6173131600,5.6173131600,97837773,576580178.0000,2,0.036300,1,0.000000,6.799955,0.870801,2.496647,3.799496,0
7,2020-01-13,sh.601398,5.6078084000,5.6363226800,5.5792941200,5.6363226800,5.6173131600,108991003,642791834.0000,2,0.040400,1,0.338400,6.822967,0.873748,2.505096,3.812354,0
8,2020-01-14,sh.601398,5.6268179200,5.6648369600,5.6173131600,5.6458274400,5.6363226800,136770059,812389848.0000,2,0.050700,1,0.168600,6.834473,0.875221,2.509320,3.818783,0
9,2020-01-15,sh.601398,5.6363226800,5.6458274400,5.5792941200,5.5887988800,5.6458274400,128890756,759512875.0000,2,0.047800,1,-1.010100,6.765438,0.866381,2.483973,3.780210,0
10,2020-01-16,sh.601398,5.5792941200,5.5983036400,5.5032560400,5.5127608000,5.5887988800,269031344,1572007903.0000,2,0.099800,1,-1.360500,6.673391,0.854593,2.450178,3.728778,0
11,2020-01-17,sh.601398,5.5222655600,5.5507798400,5.5127608000,5.5317703200,5.5127608000,103949027,605076653.0000,2,0.038600,1,0.344800,6.696403,0.857540,2.458627,3.741636,0
12,2020-01-20,sh.601398,5.5222655600,5.5697893600,5.5127608000,5.5507798400,5.5317703200,103339962,602786615.0000,2,0.038300,1,0.343600,6.719414,0.860487,2.467076,3.754494,0
13,2020-01-21,sh.601398,5.5317703200,5.5412750800,5.4747417600,5.4842465200,5.5507798400,143223669,828268482.0000,2,0.053100,1,-1.198600,6.638874,0.850173,2.437505,3.709491,0
14,2020-01-22,sh.601398,5.4747417600,5.5032560400,5.4272179600,5.5032560400,5.4842465200,128370788,738870049.0000,2,0.047600,1,0.346600,6.661885,0.853120,2.445953,3.722349,0
15,2020-01-23,sh.601398,5.4747417600,5.4937512800,5.4177132000,5.4367227200,5.5032560400,200037655,1146238550.0000,2,0.074200,1,-1.209000,6.581344,0.842806,2.416382,3.677347,0
16,2020-02-03,sh.601398,5.0375228000,5.3036560800,5.0375228000,5.1515799200,5.4367227200,468039904,2524272183.0000,2,0.173600,1,-5.244800,6.236169,0.798602,2.289649,3.484479,0
17,2020-02-04,sh.601398,5.1230656400,5.2561322800,5.0945513600,5.2276180000,5.1515799200,401385264,2178867252.0000,2,0.148900,1,1.476000,6.328216,0.810390,2.323445,3.535910,0
18,2020-02-05,sh.601398,5.2181132400,5.2466275200,5.1515799200,5.2181132400,5.2276180000,250853805,1374458723.0000,2,0.093000,1,-0.181800,6.316710,0.808917,2.319220,3.529481,0
19,2020-02-06,sh.601398,5.2276180000,5.2561322800,5.1705894400,5.2276180000,5.2181132400,280995424,1538957671.0000,2,0.104200,1,0.182200,6.328216,0.810390,2.323445,3.535910,0
20,2020-02-07,sh.601398,5.1991037200,5.1991037200,5.1325704000,5.1705894400,5.2276180000,237318996,1288428158.0000,2,0.088000,1,-1.090900,6.259181,0.801549,2.298098,3.497337,0
21,2020-02-10,sh.601398,5.1420751600,5.1610846800,5.1135608800,5.1515799200,5.1705894400,190238633,1027646561.0000,2,0.070600,1,-0.367600,6.236169,0.798602,2.289649,3.484479,0
22,2020-02-11,sh.601398,5.1610846800,5.1991037200,5.1420751600,5.1895989600,5.1515799200,198498450,1081002724.0000,2,0.073600,1,0.738000,6.282192,0.804496,2.306547,3.510195,0
23,2020-02-12,sh.601398,5.1895989600,5.1991037200,5.1515799200,5.1895989600,5.1895989600,203914433,1109148701.0000,2,0.075600,1,0.000000,6.282192,0.804496,2.306547,3.510195,0
24,2020-02-13,sh.601398,5.1800942000,5.1800942000,5.1325704000,5.1420751600,5.1895989600,199565762,1082005691.0000,2,0.074000,1,-0.915800,6.224663,0.797129,2.285425,3.478050,0
25,2020-02-14,sh.601398,5.1325704000,5.1705894400,5.1230656400,5.1610846800,5.1420751600,141576448,767126663.0000,2,0.052500,1,0.369700,6.247675,0.800076,2.293873,3.490908,0
26,2020-02-17,sh.601398,5.1515799200,5.2181132400,5.1420751600,5.2181132400,5.1610846800,214194906,1169117310.0000,2,0.079400,1,1.105000,6.316710,0.808917,2.319220,3.529481,0
27,2020-02-18,sh.601398,5.1991037200,5.2086084800,5.1705894400,5.1895989600,5.2181132400,184542440,1007061194.0000,2,0.068400,1,-0.546400,6.282192,0.804496,2.306547,3.510195,0
28,2020-02-19,sh.601398,5.1800942000,5.2276180000,5.1800942000,5.2086084800,5.1895989600,204052382,1115986859.0000,2,0.075700,1,0.366300,6.282192,0.804496,2.306547,3.510195,0
29,2020-02-20,sh.601398,5.2086084800,5.2466275200,5.1705894400,5.2371227600,5.2086084800,283668096,1552477582.0000,2,0.105200,1,0.547400,6.339722,0.811863,2.327669,3.542339,0
30,2020-02-21,sh.601398,5.2181132400,5.2466275200,5.1991037200,5.2181132400,5.2371227600,223710293,1228187059.0000,2,0.083000,1,-0.363000,6.316710,0.808917,2.319220,3.529481,0
31,2020-02-24,sh.601398,5.2086084800,5.2181132400,5.1610846800,5.1705894400,5.2181132400,193329190,1053685893.0000,2,0.071700,1,-0.910700,6.259181,0.801549,2.298098,3.497337,0
32,2020-02-25,sh.601398,5.1325704000,5.1515799200,5.1230656400,5.1420751600,5.1705894400,230133275,1243466243.0000,2,0.085400,1,-0.551500,6.224663,0.797129,2.285425,3.478050,0
33,2020-02-26,sh.601398,5.1135608800,5.1705894400,5.0945513600,5.1420751600,5.1420751600,257968813,1393315557.0000,2,0.095700,1,0.000000,6.224663,0.797129,2.285425,3.478050,0
34,2020-02-27,sh.601398,5.1325704000,5.1515799200,5.1230656400,5.1325704000,5.1420751600,222555623,1202215361.0000,2,0.082500,1,-0.184800,6.213157,0.795656,2.281200,3.471621,0
35,2020-02-28,sh.601398,5.1040561200,5.1135608800,5.0185132800,5.0375228000,5.1325704000,422937152,2256218764.0000,2,0.156900,1,-1.851800,6.098099,0.780921,2.238956,3.407332,0
36,2020-03-02,sh.601398,5.0375228000,5.0945513600,5.0280180400,5.0945513600,5.0375228000,239902317,1279829481.0000,2,0.089000,1,1.132100,6.167134,0.789762,2.264302,3.445905,0
37,2020-03-03,sh.601398,5.1040561200,5.1325704000,5.0850466000,5.1135608800,5.0945513600,255403193,1374004536.0000,2,0.094700,1,0.373100,6.190146,0.792709,2.272751,3.458763,0
38,2020-03-04,sh.601398,5.1040561200,5.1230656400,5.0945513600,5.1230656400,5.1135608800,134281589,721906815.0000,2,0.049800,1,0.185900,6.201651,0.794182,2.276976,3.465192,0
39,2020-03-05,sh.601398,5.1325704000,5.1895989600,5.1135608800,5.1895989600,5.1230656400,330539760,1794965702.0000,2,0.122600,1,1.298700,6.282192,0.804496,2.306547,3.510195,0
40,2020-03-06,sh.601398,5.1515799200,5.1610846800,5.1230656400,5.1420751600,5.1895989600,195949873,1059304456.0000,2,0.072700,1,-0.915800,6.224663,0.797129,2.285425,3.478050,0
41,2020-03-09,sh.601398,5.0755418400,5.0850466000,5.0375228000,5.0470275600,5.1420751600,288062032,1532677429.0000,2,0.106800,1,-1.848400,6.109605,0.782395,2.243180,3.413761,0
42,2020-03-10,sh.601398,5.0280180400,5.1040561200,5.0280180400,5.0945513600,5.0470275600,250820767,1336201306.0000,2,0.093000,1,0.941600,6.167134,0.789762,2.264302,3.445905,0
43,2020-03-11,sh.601398,5.0850466000,5.1040561200,5.0565323200,5.0565323200,5.0945513600,169406955,904475654.0000,2,0.062800,1,-0.746300,6.121110,0.783868,2.247405,3.420190,0
44,2020-03-12,sh.601398,5.0375228000,5.0565323200,5.0090085200,5.0280180400,5.0565323200,246296488,1303003586.0000,2,0.091400,1,-0.563900,6.086593,0.779448,2.234731,3.400903,0
45,2020-03-13,sh.601398,4.9044561600,5.0090085200,4.8759418800,4.9614847200,5.0280180400,299724112,1553653695.0000,2,0.111200,1,-1.323300,6.006052,0.769134,2.205160,3.355900,0
46,2020-03-16,sh.601398,4.9614847200,5.0280180400,4.8854466400,4.9139609200,4.9614847200,304466304,1586443700.0000,2,0.112900,1,-0.957800,5.948523,0.761767,2.184038,3.323756,0
47,2020-03-17,sh.601398,4.9044561600,4.9709894800,4.8664371200,4.9139609200,4.9139609200,257712932,1329255603.0000,2,0.095600,1,0.000000,5.948523,0.761767,2.184038,3.323756,0
48,2020-03-18,sh.601398,4.9234656800,4.9424752000,4.8569323600,4.8569323600,4.9139609200,202506811,1045181428.0000,2,0.075100,1,-1.160500,5.879488,0.752926,2.158691,3.285182,0
49,2020-03-19,sh.601398,4.8569323600,4.8664371200,4.6858466800,4.7428752400,4.8569323600,289884976,1452206739.0000,2,0.107500,1,-2.348300,5.741417,0.735245,2.107998,3.208035,0
50,2020-03-20,sh.601398,4.7713895200,4.8569323600,4.7523800000,4.8284180800,4.7428752400,212513611,1073508058.0000,2,0.078800,1,1.803600,5.844970,0.748506,2.146018,3.265895,0
51,2020-03-23,sh.601398,4.7523800000,4.7808942800,4.7333704800,4.7428752400,4.8284180800,139989311,699169083.0000,2,0.051900,1,-1.771700,5.741417,0.735245,2.107998,3.208035,0
52,2020-03-24,sh.601398,4.7713895200,4.8664371200,4.7713895200,4.8664371200,4.7428752400,230331606,1166514215.0000,2,0.085400,1,2.605200,5.890994,0.754399,2.162916,3.291611,0
53,2020-03-25,sh.601398,4.9139609200,4.9234656800,4.8474276000,4.9234656800,4.8664371200,232178619,1195478388.0000,2,0.086100,1,1.171900,5.960029,0.763240,2.188262,3.330185,0
54,2020-03-26,sh.601398,4.8759418800,4.9614847200,4.8569323600,4.9234656800,4.9234656800,155612848,805142973.0000,2,0.057700,1,0.000000,5.960029,0.763240,2.188262,3.330185,0
55,2020-03-27,sh.601398,4.9519799600,4.9899990000,4.9234656800,4.9519799600,4.9234656800,172736492,901046977.0000,2,0.064100,1,0.579200,5.994546,0.767660,2.200936,3.349471,0
56,2020-03-30,sh.601398,4.9234656800,4.9804942400,4.8949514000,4.9614847200,4.9519799600,195388477,1016609263.0000,2,0.072500,1,0.191900,5.958673,0.753198,2.175537,-31.474212,0
57,2020-03-31,sh.601398,4.9614847200,4.9804942400,4.8664371200,4.8949514000,4.9614847200,176103197,912323378.0000,2,0.065300,1,-1.341000,5.878767,0.743098,2.146363,-31.052144,0
58,2020-04-01,sh.601398,4.8949514000,4.9329704400,4.8759418800,4.9044561600,4.8949514000,101858447,525623743.0000,2,0.037800,1,0.194200,5.890182,0.744541,2.150531,-31.112439,0
59,2020-04-02,sh.601398,4.8854466400,4.9329704400,4.8569323600,4.9329704400,4.9044561600,122885637,632366527.0000,2,0.045600,1,0.581400,5.924428,0.748870,2.163034,-31.293326,0
60,2020-04-03,sh.601398,4.9044561600,4.9234656800,4.8664371200,4.8854466400,4.9329704400,109604624,564119678.0000,2,0.040700,1,-0.963400,5.867352,0.741655,2.142195,-30.991848,0
61,2020-04-07,sh.601398,4.9234656800,4.9329704400,4.8759418800,4.9044561600,4.8854466400,170301628,878022933.0000,2,0.063200,1,0.389100,5.890182,0.744541,2.150531,-31.112439,0
62,2020-04-08,sh.601398,4.8854466400,4.8949514000,4.8664371200,4.8854466400,4.9044561600,103474315,531023692.0000,2,0.038400,1,-0.387600,5.867352,0.741655,2.142195,-30.991848,0
63,2020-04-09,sh.601398,4.8854466400,4.8949514000,4.8664371200,4.8759418800,4.8854466400,73582092,377790164.0000,2,0.027300,1,-0.194500,5.855937,0.740212,2.138027,-30.931553,0
64,2020-04-10,sh.601398,4.8759418800,4.8854466400,4.8474276000,4.8569323600,4.8759418800,97806890,500477715.0000,2,0.036300,1,-0.389900,5.833107,0.737326,2.129692,-30.810962,0
65,2020-04-13,sh.601398,4.8474276000,4.8759418800,4.8379228400,4.8474276000,4.8569323600,85508709,436405778.0000,2,0.031700,1,-0.195700,5.821692,0.735883,2.125524,-30.750667,0
66,2020-04-14,sh.601398,4.8569323600,4.8759418800,4.8474276000,4.8664371200,4.8474276000,88321771,451932583.0000,2,0.032800,1,0.392200,5.844522,0.738769,2.133860,-30.871258,0
67,2020-04-15,sh.601398,4.8569323600,4.8759418800,4.8474276000,4.8759418800,4.8664371200,94603541,484407191.0000,2,0.035100,1,0.195300,5.855937,0.740212,2.138027,-30.931553,0
68,2020-04-16,sh.601398,4.8569323600,4.8759418800,4.8474276000,4.8664371200,4.8759418800,70063172,358394225.0000,2,0.026000,1,-0.194900,5.844522,0.738769,2.133860,-30.871258,0
69,2020-04-17,sh.601398,4.8759418800,4.9139609200,4.8569323600,4.8949514000,4.8664371200,138244872,710819554.0000,2,0.051300,1,0.585900,5.878767,0.743098,2.146363,-31.052144,0
70,2020-04-20,sh.601398,4.8854466400,4.8949514000,4.8664371200,4.8664371200,4.8949514000,103808722,532094032.0000,2,0.038500,1,-0.582500,5.844522,0.738769,2.133860,-30.871258,0
71,2020-04-21,sh.601398,4.8569323600,4.8664371200,4.8189133200,4.8284180800,4.8664371200,117604888,598287912.0000,2,0.043600,1,-0.781200,5.798862,0.732998,2.117189,-30.630076,0
72,2020-04-22,sh.601398,4.8189133200,4.8474276000,4.7999038000,4.8379228400,4.8284180800,87658356,445105983.0000,2,0.032500,1,0.196900,5.810277,0.734441,2.121357,-30.690371,0
73,2020-04-23,sh.601398,4.8379228400,4.8379228400,4.7999038000,4.8189133200,4.8379228400,103342243,523778033.0000,2,0.038300,1,-0.392900,5.787447,0.731555,2.113021,-30.569780,0
74,2020-04-24,sh.601398,4.8094085600,4.8189133200,4.7903990400,4.7999038000,4.8189133200,68795221,347600182.0000,2,0.025500,1,-0.394500,5.764616,0.728669,2.104686,-30.449190,0
75,2020-04-27,sh.601398,4.7999038000,4.8569323600,4.7999038000,4.8379228400,4.7999038000,117299682,596976653.0000,2,0.043500,1,0.792100,5.810277,0.734441,2.121357,-30.690371,0
76,2020-04-28,sh.601398,4.8379228400,4.8664371200,4.7903990400,4.8569323600,4.8379228400,150513612,766309872.0000,2,0.055800,1,0.392900,5.833107,0.737326,2.129692,-30.810962,0
77,2020-04-29,sh.601398,4.8474276000,4.8949514000,4.8284180800,4.8949514000,4.8569323600,121079635,621183010.0000,2,0.044900,1,0.782800,5.832273,0.717628,2.167967,2.475387,0
78,2020-04-30,sh.601398,4.8949514000,4.9234656800,4.8854466400,4.9139609200,4.8949514000,104063910,537925254.0000,2,0.038600,1,0.388300,5.854923,0.720415,2.176387,2.485000,0
79,2020-05-06,sh.601398,4.8664371200,4.8664371200,4.8284180800,4.8569323600,4.9139609200,162061217,826750780.0000,2,0.060100,1,-1.160500,5.786974,0.712054,2.151129,2.456161,0
80,2020-05-07,sh.601398,4.8474276000,4.8569323600,4.8379228400,4.8474276000,4.8569323600,78898187,402339514.0000,2,0.029300,1,-0.195700,5.775649,0.710661,2.146919,2.451354,0
81,2020-05-08,sh.601398,4.8474276000,4.8664371200,4.8379228400,4.8474276000,4.8474276000,114827797,586300547.0000,2,0.042600,1,0.000000,5.775649,0.710661,2.146919,2.451354,0
82,2020-05-11,sh.601398,4.8569323600,4.8854466400,4.8474276000,4.8854466400,4.8474276000,113051885,579421726.0000,2,0.041900,1,0.784300,5.820948,0.716235,2.163758,2.470581,0
83,2020-05-12,sh.601398,4.8759418800,4.8949514000,4.8569323600,4.8759418800,4.8854466400,101632081,521289496.0000,2,0.037700,1,-0.194500,5.809624,0.714841,2.159548,2.465774,0
84,2020-05-13,sh.601398,4.8664371200,4.8759418800,4.8569323600,4.8759418800,4.8759418800,55628021,284796153.0000,2,0.020600,1,0.000000,5.809624,0.714841,2.159548,2.465774,0
85,2020-05-14,sh.601398,4.8664371200,4.8759418800,4.8379228400,4.8474276000,4.8759418800,81152500,414442713.0000,2,0.030100,1,-0.584800,5.775649,0.710661,2.146919,2.451354,0
86,2020-05-15,sh.601398,4.8474276000,4.8664371200,4.8284180800,4.8379228400,4.8474276000,95906130,488458006.0000,2,0.035600,1,-0.196100,5.764324,0.709267,2.142709,2.446548,0
87,2020-05-18,sh.601398,4.8379228400,4.8474276000,4.8189133200,4.8474276000,4.8379228400,93617881,476194382.0000,2,0.034700,1,0.196500,5.775649,0.710661,2.146919,2.451354,0
88,2020-05-19,sh.601398,4.8664371200,4.8759418800,4.8474276000,4.8664371200,4.8474276000,136180096,696256254.0000,2,0.050500,1,0.392200,5.798299,0.713448,2.155338,2.460968,0
89,2020-05-20,sh.601398,4.8569323600,4.8664371200,4.8474276000,4.8664371200,4.8664371200,86764868,443325188.0000,2,0.032200,1,0.000000,5.798299,0.713448,2.155338,2.460968,0
90,2020-05-21,sh.601398,4.8664371200,4.8759418800,4.8474276000,4.8474276000,4.8664371200,81003105,414491659.0000,2,0.030000,1,-0.390600,5.775649,0.710661,2.146919,2.451354,0
91,2020-05-22,sh.601398,4.8474276000,4.8569323600,4.7999038000,4.7999038000,4.8474276000,143377084,727859693.0000,2,0.053200,1,-0.980400,5.719025,0.703693,2.125871,2.427321,0
92,2020-05-25,sh.601398,4.8094085600,4.8474276000,4.7903990400,4.8379228400,4.7999038000,105506493,535413169.0000,2,0.039100,1,0.792100,5.764324,0.709267,2.142709,2.446548,0
93,2020-05-26,sh.601398,4.8474276000,4.8569323600,4.8284180800,4.8284180800,4.8379228400,92522125,471204943.0000,2,0.034300,1,-0.196500,5.753000,0.707874,2.138500,2.441741,0
94,2020-05-27,sh.601398,4.8284180800,4.8759418800,4.8284180800,4.8664371200,4.8284180800,119594005,611685990.0000,2,0.044400,1,0.787400,5.798299,0.713448,2.155338,2.460968,0
95,2020-05-28,sh.601398,4.8664371200,4.9234656800,4.8664371200,4.9139609200,4.8664371200,145728739,751332007.0000,2,0.054100,1,0.976600,5.854923,0.720415,2.176387,2.485000,0
96,2020-05-29,sh.601398,4.8854466400,4.8949514000,4.8474276000,4.8664371200,4.9139609200,125761411,644333222.0000,2,0.046600,1,-0.967100,5.798299,0.713448,2.155338,2.460968,0
97,2020-06-01,sh.601398,4.8759418800,4.9044561600,4.8664371200,4.9044561600,4.8664371200,105007887,540140879.0000,2,0.038900,1,0.781200,5.843598,0.719021,2.172177,2.480194,0
98,2020-06-02,sh.601398,4.8949514000,4.9329704400,4.8759418800,4.9329704400,4.9044561600,152829199,788749046.0000,2,0.056700,1,0.581400,5.877573,0.723202,2.184806,2.494614,0
99,2020-06-03,sh.601398,4.9424752000,4.9804942400,4.9234656800,4.9329704400,4.9329704400,134546779,700101340.0000,2,0.049900,1,0.000000,5.877573,0.723202,2.184806,2.494614,0
100,2020-06-04,sh.601398,4.9424752000,4.9519799600,4.9139609200,4.9234656800,4.9329704400,76394115,396059493.0000,2,0.028300,1,-0.192700,5.866248,0.721808,2.180596,2.489807,0
101,2020-06-05,sh.601398,4.9329704400,4.9614847200,4.9044561600,4.9519799600,4.9234656800,109865757,569906514.0000,2,0.040700,1,0.579200,5.900222,0.725989,2.193225,2.504227,0
102,2020-06-08,sh.601398,4.9614847200,4.9995037600,4.9424752000,4.9804942400,4.9519799600,170929414,894672989.0000,2,0.063400,1,0.575800,5.934197,0.730169,2.205854,2.518646,0
103,2020-06-09,sh.601398,4.9804942400,5.0185132800,4.9709894800,4.9995037600,4.9804942400,118676521,624176016.0000,2,0.044000,1,0.381700,5.956846,0.732956,2.214273,2.528260,0
104,2020-06-10,sh.601398,5.0090085200,5.0185132800,4.9899990000,5.0090085200,4.9995037600,130116167,685774219.0000,2,0.048300,1,0.190100,5.968171,0.734349,2.218483,2.533066,0
105,2020-06-11,sh.601398,5.0090085200,5.0375228000,4.9804942400,5.0090085200,5.0090085200,201954547,1065079808.0000,2,0.074900,1,0.000000,5.968171,0.734349,2.218483,2.533066,0
106,2020-06-12,sh.601398,4.9709894800,5.0565323200,4.9424752000,4.9614847200,5.0090085200,379726032,2002673521.0000,2,0.140800,1,-0.948800,5.911547,0.727382,2.197435,2.509033,0
107,2020-06-15,sh.601398,4.9804942400,5.0470275600,4.9709894800,4.9804942400,4.9614847200,216077601,1137899837.0000,2,0.080100,1,0.383100,5.934197,0.730169,2.205854,2.518646,0
108,2020-06-16,sh.601398,5.0090085200,5.0470275600,4.9995037600,5.0375228000,4.9804942400,123037983,650847977.0000,2,0.045600,1,1.145000,6.002145,0.738530,2.231112,2.547486,0
109,2020-06-17,sh.601398,5.0185132800,5.0375228000,4.9899990000,4.9995037600,5.0375228000,87984468,463475830.0000,2,0.032600,1,-0.754700,5.956846,0.732956,2.214273,2.528260,0
110,2020-06-18,sh.601398,4.9424752000,4.9614847200,4.9044561600,4.9329704400,4.9995037600,210965506,1095065086.0000,2,0.078200,1,-1.330800,5.877573,0.723202,2.184806,2.494614,0
111,2020-06-19,sh.601398,4.9234656800,4.9519799600,4.8949514000,4.9424752000,4.9329704400,198605088,1029454851.0000,2,0.073700,1,0.192700,5.888897,0.724595,2.189016,2.499420,0
112,2020-06-22,sh.601398,4.9424752000,4.9614847200,4.9044561600,4.9044561600,4.9424752000,156983957,814365099.0000,2,0.058200,1,-0.769200,5.843598,0.719021,2.172177,2.480194,0
113,2020-06-23,sh.601398,4.9044561600,4.9044561600,4.8664371200,4.8854466400,4.9044561600,179893542,924358314.0000,2,0.066700,1,-0.387600,5.820948,0.716235,2.163758,2.470581,0
114,2020-06-24,sh.601398,4.8949514000,4.9804942400,4.8854466400,4.9614847200,4.8854466400,194172776,1008333086.0000,2,0.072000,1,1.556400,5.911547,0.727382,2.197435,2.509033,0
115,2020-06-29,sh.601398,5.0185132800,5.0470275600,4.9424752000,4.9899990000,4.9614847200,300096304,1574885416.0000,2,0.111300,1,0.574700,5.945521,0.731563,2.210064,2.523453,0
116,2020-06-30,sh.601398,5.0000000000,5.0300000000,4.9600000000,4.9800000000,4.9900000000,213559908,1064429272.0000,2,0.079200,1,-0.200400,5.639752,0.693939,2.096403,2.393675,0
117,2020-07-01,sh.601398,4.9800000000,4.9900000000,4.9200000000,4.9900000000,4.9800000000,195342430,968080285.0000,2,0.072500,1,0.200800,5.651076,0.695333,2.100613,2.398482,0
118,2020-07-02,sh.601398,4.9800000000,5.0700000000,4.9600000000,5.0600000000,4.9900000000,333639504,1672846064.0000,2,0.123700,1,1.402800,5.730350,0.705087,2.130081,2.432128,0
119,2020-07-03,sh.601398,5.0600000000,5.1800000000,5.0600000000,5.1600000000,5.0600000000,349460784,1791281772.0000,2,0.129600,1,1.976300,5.843598,0.719021,2.172177,2.480194,0
120,2020-07-06,sh.601398,5.2000000000,5.6100000000,5.1900000000,5.6000000000,5.1600000000,746359632,4044172401.0000,2,0.276800,1,8.527100,6.341889,0.780333,2.357401,2.691683,0
